Contract Number,Project Number,GSAR,GQAC,Service Contract Reporting,Warranties
FA4861-18-F-A083,50056,0,0,0,1
FA4861-18-F-A088 ,50056,0,0,0,1
FA4861-18-F-A090,50056,0,0,0,1
FA4861-18-F-A093 ,50056,0,0,0,0
FA4861-18-F-A091,50056,0,0,0,0
FA4861-18-F-A097 ,50056,0,0,0,0
FA4861-18-F-A094 ,50056,0,0,0,0
FA4861-18-F-A096,50056,0,0,0,0
FA4861-18-F-A098,50056,0,0,0,0
FA4861-18-F-A089 ,50056,0,0,0,1
FA4861-18-F-A099 ,50056,0,0,0,0
FA4861-18-F-A100 ,50056,0,0,0,0
FA4861-18-F-A101      ,50056,0,0,0,1
FA4861-18-F-A054,50056,0,0,0,1
FA4861-18-F-A051,50056,0,0,0,0
FA4861-18-F-A106,50056,0,0,0,0
FA4861-18-F-A104 ,50056,0,0,0,0
FA4861-18-F-A111,50056,0,0,0,1
FA4861-18-F-A109,50056,0,0,0,0
FA4861-18-F-A113,50056,0,0,0,0
FA4861-18-F-A115,50056,0,0,0,0
FA4861-18-F-A116,50056,0,0,0,0
FA4861-18-F-A121,50056,0,0,0,0
FA4861-18-F-A125,50056,0,0,0,0
FA4861-18-F-A120,50056,0,0,0,0
FA4861-18-F-A127,50056,0,0,0,0
FA4861-18-F-A123,50056,0,0,0,1
FA4861-18-F-A130,50056,0,0,0,1
FA4861-18-F-A119,50056,0,0,0,1
FA4861-18-F-A144 ,50056,0,0,0,1
FA4861-18-F-A145,50056,0,0,0,1
FA4861-18-F-A128,50056,0,0,0,1
FA4861-18-F-A143,50056,0,0,0,1
FA4861-18-F-A156,50056,0,0,0,1
FA4861-18-F-A157      ,50056,0,0,0,1
FA4861-18-F-A159  ,50056,0,0,0,1
FA4861-18-F-A160,50056,0,0,0,1
FA4861-18-F-A163,50056,0,0,0,1
FA4861-18-F-A167,50056,0,0,0,1
FA4861-18-F-A172,50056,0,0,0,1
FA4861-18-F-A165,50056,0,0,0,1
FA4861-18-F-A174,50056,0,0,0,1
FA4861-18-F-A161,50056,0,0,0,1
FA4861-18-F-A177,50056,0,0,0,1
FA4861-18-F-A164,50056,0,0,0,1
A4861-18-F-A183,50056,0,0,0,1
FA4861-18-F-A158,50056,0,0,0,1
FA4861-18-F-A181,50056,0,0,0,1
FA4861-19-F-A116,50056,0,0,0,1
FA4861-19-C-A006,50056,0,0,0,1
FA4861-19-F-A029,50056,0,0,0,1
FA4861-19-F-A081,50056,0,0,0,1
FA4861-19-F-A092,50056,0,0,0,1
FA4861-19-F-A091,50056,0,0,0,1
FA4861-19-F-A095 ,50056,0,0,0,1
FA4861-19-F-A099,50056,0,0,0,0
FA4861-19-F-A107,50056,0,0,0,1
FA4861-19-F-A106,50056,0,0,0,1
FA4861-19-F-A132,50056,0,0,0,0
FA4861-19-F-A130,50056,0,0,0,1
FA4861-19-F-A137,50056,0,0,0,1
 W9124M-18-D-0002,50056,0,0,1,1
W9124M18F0235,50056,0,0,1,1
W9124M18F0121,50056,0,0,1,1
W9124M18F0109,50056,0,0,1,1
W9124M19F0130,50056,0,0,1,1
W9124M19F0135,50056,0,0,1,1
,50056,0,0,0,0
P-Card,50056,0,0,0,1
credit card,50056,0,0,0,1
CREDIT CARD,50056,0,0,0,1
HSCG87-15-J-PJT057,50056,0,0,0,1
HSCG87-17-J-PJT772,50056,0,0,0,1
HSCG87-17-J-PJT921,50056,0,0,0,1
70Z08718FPJT84435,50056,0,0,0,1
70Z08718FPJT94300,50056,0,0,0,1
12SPEC18D0007,50056,0,0,0,0
12SPEC18F0054,50056,0,0,0,0
509035,50056,0,0,0,1
W912DW19D1024,50056,0,0,1,0
W911KB-19-D-0007,50056,0,0,0,1
W911KB19F0083,50056,0,0,0,1
W912DY-14-D-0005,50056,0,0,1,1
W912DY18F0555,50056,0,0,0,1
W912DY19F0215,50056,0,0,0,1
295.002,50056,0,0,0,1
FA5004-17-D-C001,50056,0,0,0,1
FA5004-17-D-C001-FA500417FC078,50056,0,0,0,1
FA5004-17-D-C001-FA500417FC080,50056,0,0,0,1
FA5004-17-D-C001-FA500418FA060,50056,0,0,0,1
FA5004-17-D-C001-FA500418FA029,50056,0,0,0,0
FA5004-17-D-C001-FA500418FA064,50056,0,0,0,1
FA5004-17-D-C001-FA500418FA039,50056,0,0,0,1
FA5004-17-D-C001-FA500418FA044,50056,0,0,1,0
FA5004-17-D-C001-FA500418FA089,50056,0,0,0,1
FA5004-17-D-C-0001-FA500418FA071,50056,0,0,0,1
FA5004-17-D-C001-FA500418FA070,50056,0,0,0,1
FA5004-17-D-C001-FA500418FA085,50056,0,0,0,1
FA5004-17-D-C001FA500418FA096,50056,0,0,0,1
FA5004-17-D-C001-FA500419FA025,50056,0,0,0,0
FA5004-17-D-C-0001-FA500419FA035,50056,0,0,0,0
FA5004-17-D-C001-FA500419FA037,50056,0,0,0,0
FA5000-17-D-0056-FA500017F0101,50056,0,0,0,1
FA500017D0056-FA500019FA006,50056,0,0,0,1
FA5000-17-D-0056-FA500019FA014,50056,0,0,0,1
FA5000-17-D-0056-FA500019FA016,50056,0,0,1,1
FA5000-17-D-0056-FA500019FA020,50056,0,0,1,1
FA5000-17-D-0056-FA500019FA058,50056,0,0,0,1
F17PC00158,50056,0,0,1,1
HSBP1017P00272,50056,0,0,0,1
W911KB-14-D-0014-0005,50056,0,0,0,1
W911KB-17-C-0021,50056,0,0,0,1
W911KB-11-D-0006,50056,0,0,0,1
FA486118PA003,50056,0,0,0,1
W911KB18D0009,50056,0,0,0,1
140P8219C0003,50056,0,0,0,0
80KSC018C0047,50056,0,0,0,1
,50056,0,0,0,1
70Z08718DPJT24400,50056,0,0,1,1
70z08718FPJT37600,50056,0,0,1,1
FA 500018P0128,50056,0,0,1,1
W9128F-16-D-0029,50056,0,0,0,1
W9128F-18F0196,50056,0,0,0,1
W912F18F0240 ,50056,0,0,0,1
