PSCGuid,CodeDescription,Code,Level1,Level1Category,Level2,Level2Category
{26731134-0E85-4E46-925D-B2F21F86FB32},Y1AZ (CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS),Y1AZ,4,Facilities & Construction,4.2,Construction Related Services
{CAC4ADEC-0F32-4ED8-B75E-B30EC6F2FACB},Y1BA (CONSTRUCTION OF AIR TRAFFIC CONTROL TOWERS),Y1BA,4,Facilities & Construction,4.2,Construction Related Services
{9F950D74-929B-45E0-9754-B30F391A65E0},Y1BB (CONSTRUCTION OF AIR TRAFFIC CONTROL TRAINING FACILITIES),Y1BB,4,Facilities & Construction,4.2,Construction Related Services
{ADB7723E-71CD-4496-A010-B315A1927EEB},Y1BC (CONSTRUCTION OF RADAR AND NAVIGATIONAL FACILITIES),Y1BC,4,Facilities & Construction,4.2,Construction Related Services
{E785A0E0-0E71-4CC0-B7DA-B334DB599A40},Y1BD (CONSTRUCTION OF AIRPORT RUNWAYS AND TAXIWAYS),Y1BD,4,Facilities & Construction,4.2,Construction Related Services
{C1A2B166-302C-4743-8A89-B3AF5F5E5B8B},Y1BE (CONSTRUCTION OF AIRPORT TERMINALS),Y1BE,4,Facilities & Construction,4.2,Construction Related Services
{C9B6CF8B-BC84-4788-8E3D-B3D835C4A7D1},Y1BF (CONSTRUCTION OF MISSILE SYSTEM FACILITIES),Y1BF,4,Facilities & Construction,4.2,Construction Related Services
{E8FE25B1-07EA-4576-ACA0-B3E947B135B2},Y1BG (CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES),Y1BG,4,Facilities & Construction,4.2,Construction Related Services
{57D426D9-286A-433E-A5A2-B3EDD7EC955C},Y1BZ (CONSTRUCTION OF OTHER AIRFIELD STRUCTURES),Y1BZ,4,Facilities & Construction,4.2,Construction Related Services
{AFC9FCFA-9EAA-42AE-BD99-B400E8C1A059},Y1CA (CONSTRUCTION OF SCHOOLS),Y1CA,4,Facilities & Construction,4.2,Construction Related Services
{13B92398-0DCB-47D4-9B5A-B40C44F5F45B},Y1CZ (CONSTRUCTION OF OTHER EDUCATIONAL BUILDINGS),Y1CZ,4,Facilities & Construction,4.2,Construction Related Services
{E5D7D08D-895E-4ACE-B8FA-B41B29886E2C},Y1DA (CONSTRUCTION OF HOSPITALS AND INFIRMARIES),Y1DA,4,Facilities & Construction,4.2,Construction Related Services
{3F384888-1E2D-4975-8148-B4209EA139FF},Y1DB (CONSTRUCTION OF LABORATORIES AND CLINICS),Y1DB,4,Facilities & Construction,4.2,Construction Related Services
{D255A808-5AEC-4146-B53F-B4398594CF43},Y1DZ (CONSTRUCTION OF OTHER HOSPITAL BUILDINGS),Y1DZ,4,Facilities & Construction,4.2,Construction Related Services
{FAB45587-73B8-4D84-AE74-B4428ED54D90},Y1EA (CONSTRUCTION OF AMMUNITION FACILITIES),Y1EA,4,Facilities & Construction,4.2,Construction Related Services
{7D083DDF-0225-4345-9962-B452909B1A71},Y1EB (CONSTRUCTION OF MAINTENANCE BUILDINGS),Y1EB,4,Facilities & Construction,4.2,Construction Related Services
{4EDADD0F-8C87-4D94-B7E2-B45B1F2100D2},Y1EC (CONSTRUCTION OF PRODUCTION BUILDINGS),Y1EC,4,Facilities & Construction,4.2,Construction Related Services
{4926107D-591C-4546-91D4-B46E3BE1D459},Y1ED (CONSTRUCTION OF SHIP CONSTRUCTION AND REPAIR FACILITIES),Y1ED,4,Facilities & Construction,4.2,Construction Related Services
{7991E258-2DCF-40DB-86E9-B4886E784207},Y1EE (CONSTRUCTION OF TANK AUTOMOTIVE FACILITIES),Y1EE,4,Facilities & Construction,4.2,Construction Related Services
{576F9BB1-3868-45C1-86B0-B48EE41AA069},Y1EZ (CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS),Y1EZ,4,Facilities & Construction,4.2,Construction Related Services
{DFFA7F52-633B-4F51-873D-B4A26F29873A},Y1FA (CONSTRUCTION OF FAMILY HOUSING FACILITIES),Y1FA,4,Facilities & Construction,4.2,Construction Related Services
